x,y,z
0,0,0
0.883127,0.455062,0.35616
0.800254,0.41031,0.516173
-0.220459,0.354441,1.65255
-0.0496163,0.731828,2.21512
0.580658,1.63238,1.71435
-0.0566217,0.708054,0.737286
0.765296,-0.541781,0.353074
1.7334,0.0338977,0.260408
1.51945,1.10192,0.0190999
0.423853,1.23348,0.0444519
0.140483,1.67003,0.855468
-0.227413,1.28036,1.43974
0.202806,-0.151312,1.02721
0.591543,-0.846784,1.53509
0.587226,-0.102039,1.93265
0.592416,0.0463808,2.06933
0.736429,0.658892,1.41789
0.69386,0.751889,1.40379
1.26176,-0.228241,1.11915
1.18449,-0.158341,1.18385
1.44489,1.28216,1.6714
1.47483,1.29548,1.73045
1.54427,0.341315,1.93857
1.52271,0.374314,1.89112
2.07735,1.52857,1.01425
2.32125,0.0391033,1.00371
2.15797,-0.115477,1.38217
1.95567,-0.523649,1.80896
1.3816,-0.626224,2.02382
2.32728,0.136693,2.42126
1.31063,0.0346453,2.78306
1.8655,1.03994,2.56638
2.34295,0.798154,1.60802
2.32949,0.821416,1.77938
2.87518,0.918751,2.4019
2.23803,1.76322,2.01963
1.41712,2.17155,1.4197
1.26042,1.87919,2.43829
0.939549,0.883,2.49298
0.86582,0.931173,2.34048
1.02496,1.39758,0.81465
1.59704,0.709415,0.93465
1.615,0.664885,0.978235
3.13346,0.557835,1.04396
3.07133,0.171834,1.76145
3.01136,1.44851,1.4502
2.42716,0.887773,0.453534
